url,domain,confidence_score,matched_signals,checked_at
https://bjsarcade.co.uk,bjsarcade.co.uk,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:41Z
https://bingocrazy.com,bingocrazy.com,1.0,strong:free spins|strong:claim bonus|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:41Z
https://bgtgames.com,bgtgames.com,1.0,strong:free spins|strong:claim bonus|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:42Z
https://casinogame.co.uk,casinogame.co.uk,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:43Z
https://carltonbingo.com,carltonbingo.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:44Z
https://crazykingcasino.com,crazykingcasino.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:45Z
https://dazzlebingo.com,dazzlebingo.com,1.0,strong:free spins|strong:play now|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware|structural:responsible gambling,2026-08-09T05:52:46Z
https://daisyslots.com,daisyslots.com,1.0,strong:free spins|strong:live dealer|strong:claim bonus|strong:ukgc|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware|negative:how to play,2026-08-09T05:52:47Z
https://feverslots.com,feverslots.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:48Z
https://feverbingo.com,feverbingo.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:49Z
https://freebet.casino,freebet.casino,1.0,strong:deposit bonus|strong:free spins|strong:claim bonus|strong:ukgc|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware|negative:how to play,2026-08-09T05:52:50Z
https://gooddayslots.com,gooddayslots.com,1.0,strong:free spins|strong:claim bonus|strong:ukgc|medium:casino|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:51Z
https://giantwins.com,giantwins.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:jackpot|medium:wager|medium:betting|structural:18+|structural:gambleaware,2026-08-09T05:52:51Z
https://irishwins.co.uk,irishwins.co.uk,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:51Z
https://dovecasino.com,dovecasino.com,1.0,strong:place a bet|strong:live dealer|strong:claim bonus|strong:ukgc|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware|negative:how to play,2026-08-09T05:52:52Z
https://innspins.com,innspins.com,1.0,strong:free spins|strong:live dealer|strong:claim bonus|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:52Z
https://justincasino.com,justincasino.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:54Z
https://londonjackpots.com,londonjackpots.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:54Z
https://luckstarscasino.com,luckstarscasino.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:55Z
https://ladyriches.com,ladyriches.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:55Z
https://olivecasino.com,olivecasino.com,1.0,strong:deposit bonus|strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:wager|medium:betting|structural:18+|structural:gambleaware,2026-08-09T05:52:58Z
https://onlineslotsuk.com,onlineslotsuk.com,1.0,strong:claim bonus|strong:ukgc|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:59Z
https://palacebingo.com,palacebingo.com,0.95,strong:free spins|strong:claim bonus|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware|negative:how to play,2026-08-09T05:52:59Z
https://realfungames.co.uk,realfungames.co.uk,1.0,strong:free spins|strong:claim bonus|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:53:00Z
https://reelscasino.co.uk,reelscasino.co.uk,0.85,strong:place a bet|strong:ukgc|medium:casino|medium:slots|structural:responsible gambling,2026-08-09T05:53:00Z
https://playleon.com,playleon.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:53:00Z
https://rocketbingo.co.uk,rocketbingo.co.uk,1.0,strong:free spins|strong:live dealer|strong:claim bonus|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:53:00Z
https://rouletteonline.co.uk,rouletteonline.co.uk,1.0,strong:free spins|strong:place a bet|strong:ukgc|medium:casino|medium:slots|medium:wager|medium:betting|structural:18+|structural:gambleaware,2026-08-09T05:53:01Z
https://slotgames.co.uk,slotgames.co.uk,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|structural:18+|structural:gambleaware|structural:responsible gambling|negative:how to play,2026-08-09T05:53:01Z
https://slotshack.co.uk,slotshack.co.uk,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:53:02Z
https://redspins.com,redspins.com,1.0,strong:free spins|strong:play now|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+,2026-08-09T05:53:02Z
https://slotmachine.co.uk,slotmachine.co.uk,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|structural:18+|structural:gambleaware|structural:responsible gambling,2026-08-09T05:53:02Z
https://slotsuk.co.uk,slotsuk.co.uk,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:53:03Z
https://royalspins.com,royalspins.com,1.0,strong:free spins|strong:live dealer|strong:claim bonus|medium:casino|medium:slots|medium:wager|structural:18+|structural:gambleaware|negative:how to play,2026-08-09T05:53:03Z
https://shipleyslots.com,shipleyslots.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:53:03Z
https://sugarspins.com,sugarspins.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:53:05Z
https://ukonlineslots.com,ukonlineslots.com,1.0,strong:free spins|strong:claim bonus|strong:ukgc|medium:casino|medium:slots|medium:jackpot|medium:wager|medium:betting|structural:18+|structural:gambleaware|structural:responsible gambling|negative:how to play,2026-08-09T05:53:06Z
https://wolfspins.com,wolfspins.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:53:07Z
https://123spins.com,123spins.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:53:08Z
https://bjsgames.co.uk,bjsgames.co.uk,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:53:08Z
https://barbadosbingo.com,barbadosbingo.com,1.0,strong:free spins|strong:claim bonus|strong:ukgc|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:53:09Z
https://casino77.com,casino77.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:play now|strong:mga/|strong:ukgc|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|medium:betting|structural:18+|structural:responsible gambling|structural:age verification,2026-08-09T05:53:10Z
https://carltongames.com,carltongames.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:53:10Z
https://buddyslots.com,buddyslots.com,1.0,strong:free spins|strong:live dealer|strong:claim bonus|strong:ukgc|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:53:11Z
https://lotterycasino.net,lotterycasino.net,0.85,strong:play now|strong:mga/|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|negative:how to play,2026-08-09T05:53:11Z
https://lasvegascasino.com,lasvegascasino.com,1.0,strong:free spins|strong:play now|strong:mga/|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:responsible gambling|structural:age verification,2026-08-09T05:53:13Z
https://jupiterslots.com,jupiterslots.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:53:14Z
https://richmondslots.com,richmondslots.com,0.85,strong:place a bet|strong:ukgc|medium:casino|medium:slots|structural:responsible gambling,2026-08-09T05:53:16Z
https://seasideslots.com,seasideslots.com,0.85,strong:place a bet|strong:ukgc|medium:casino|medium:slots|structural:responsible gambling,2026-08-09T05:53:16Z
https://gamblingmeter.net,gamblingmeter.net,1.0,strong:live dealer|strong:play now|strong:cashier|medium:casino|medium:slots|medium:poker|medium:sportsbook|structural:18+|structural:responsible gambling|negative:written by,2026-08-09T05:53:18Z
https://gamblingchooser.com,gamblingchooser.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:play now|strong:cashier|strong:ukgc|medium:casino|medium:slots|medium:poker|medium:sportsbook|medium:jackpot,2026-08-09T05:53:19Z
https://wombatcasino.com,wombatcasino.com,1.0,strong:deposit bonus|strong:free spins|strong:mga/|strong:ukgc|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:53:19Z
https://takeawayslots.com,takeawayslots.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:53:19Z
https://con-space.com,con-space.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:claim bonus|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:responsible gambling|negative:how to play|negative:written by,2026-08-09T05:53:20Z
https://wizardslots.com,wizardslots.com,1.0,strong:free spins|strong:live dealer|strong:claim bonus|strong:ukgc|medium:casino|medium:slots|medium:poker|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:53:21Z
https://sportshandle.com,sportshandle.com,1.0,strong:register now|strong:sign up now|medium:casino|medium:poker|medium:sportsbook|medium:wager|medium:betting|structural:responsible gambling,2026-08-09T05:53:29Z
https://six6es.org,six6es.org,1.0,strong:deposit bonus|strong:live dealer|strong:play now|medium:casino|medium:slots|medium:poker|medium:sportsbook|medium:jackpot|medium:wager|medium:betting|structural:age verification,2026-08-09T05:53:39Z
https://btpro.pro,btpro.pro,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:wager|medium:betting|structural:age verification,2026-08-09T05:53:39Z
https://click5.bet,click5.bet,0.8,strong:live dealer|strong:cashier|medium:casino|medium:slots|medium:sportsbook,2026-08-09T05:53:39Z
https://hot880.bar,hot880.bar,1.0,strong:free spins|strong:live dealer|strong:play now|medium:casino|medium:slots|medium:jackpot|medium:wager|medium:betting,2026-08-09T05:53:39Z
https://222dk.io,222dk.io,1.0,strong:free spins|strong:live dealer|strong:claim bonus|medium:casino|medium:slots|medium:jackpot|medium:wager|medium:betting,2026-08-09T05:53:40Z
https://inplaysoft.com,inplaysoft.com,0.9,strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:sportsbook|medium:betting,2026-08-09T05:53:44Z
https://sbgglobal.eu,sbgglobal.eu,1.0,strong:deposit bonus|strong:place a bet|medium:casino|medium:poker|medium:sportsbook|medium:jackpot|medium:wager|medium:betting,2026-08-09T05:53:46Z
https://orbitxch.com,orbitxch.com,0.75,strong:place a bet|strong:bet slip|medium:betting|structural:responsible gambling,2026-08-09T05:53:49Z
https://greenwood-management.com,greenwood-management.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:play now|medium:casino|medium:slots|medium:sportsbook|medium:wager|medium:betting|structural:responsible gambling|negative:how to play,2026-08-09T05:53:53Z
https://flasr.com,flasr.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:play now|medium:casino|medium:slots|medium:jackpot|medium:wager,2026-08-09T05:53:54Z
https://angeanblog.com,angeanblog.com,0.95,strong:free spins|strong:play now|medium:casino|medium:slots|medium:jackpot|structural:responsible gambling,2026-08-09T05:53:55Z
https://icecasino.com/en,icecasino.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|structural:responsible gambling|structural:age verification|negative:app store,2026-08-09T05:53:58Z
https://flush.com/,flush.com,1.0,strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:poker|medium:sportsbook|medium:betting,2026-08-09T05:53:59Z
https://bizbet.io/en,bizbet.io,0.8,strong:register now|strong:curaçao egaming|medium:casino|medium:poker|medium:betting,2026-08-09T05:54:03Z
https://bzeebet.com/,bzeebet.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:bet slip|strong:ukgc|medium:casino|medium:slots|medium:sportsbook|medium:wager|medium:betting|structural:18+|structural:gambleaware|structural:responsible gambling,2026-08-09T05:54:08Z
https://betplays.com/en,betplays.com,1.0,strong:free spins|strong:live dealer|strong:play now|medium:casino|medium:slots|medium:sportsbook|medium:betting,2026-08-09T05:54:08Z
https://heyspin.com/,heyspin.com,1.0,strong:free spins|strong:live dealer|strong:claim bonus|strong:ukgc|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:54:09Z
https://vulkanvegas.com/en,vulkanvegas.com,1.0,strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|medium:betting|structural:responsible gambling,2026-08-09T05:54:12Z
https://scibet.io/,scibet.io,0.95,strong:play now|strong:mga/|medium:casino|medium:slots|medium:betting|structural:gambleaware,2026-08-09T05:54:30Z
https://icecasino.com,icecasino.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|structural:responsible gambling|structural:age verification|negative:app store,2026-08-09T05:54:37Z
https://fairpari.com,fairpari.com,1.0,strong:deposit bonus|strong:place a bet|strong:bet slip|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:betting,2026-08-09T05:54:37Z
https://flush.com,flush.com,1.0,strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:poker|medium:sportsbook|medium:betting,2026-08-09T05:54:38Z
https://bizbet.io,bizbet.io,0.8,strong:register now|strong:curaçao egaming|medium:casino|medium:poker|medium:betting,2026-08-09T05:54:41Z
https://duelbet.com,duelbet.com,0.95,strong:deposit bonus|strong:live dealer|strong:withdraw winnings|medium:casino|medium:slots,2026-08-09T05:54:43Z
https://winsly.com,winsly.com,1.0,strong:deposit bonus|strong:free spins|strong:sign up now|medium:casino|medium:slots|medium:sportsbook|medium:jackpot|medium:wager|medium:betting,2026-08-09T05:54:43Z
https://betplays.com,betplays.com,1.0,strong:free spins|strong:live dealer|strong:play now|medium:casino|medium:slots|medium:sportsbook|medium:betting,2026-08-09T05:54:44Z
https://scibet.io,scibet.io,0.95,strong:play now|strong:mga/|medium:casino|medium:slots|medium:betting|structural:gambleaware,2026-08-09T05:54:53Z
https://onlineslots.com,onlineslots.com,1.0,strong:free spins|strong:claim bonus|strong:play now|medium:casino|medium:slots|medium:jackpot|medium:wager|medium:betting|structural:18+|structural:gambleaware|negative:written by,2026-08-09T05:55:03Z
https://slotsjudge.com,slotsjudge.com,1.0,strong:deposit bonus|strong:free spins|strong:play now|strong:ukgc|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|structural:18+|structural:gambleaware|structural:responsible gambling|structural:age verification,2026-08-09T05:55:07Z
https://gamblingnerd.com,gamblingnerd.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:play now|medium:casino|medium:slots|medium:poker|medium:sportsbook|medium:jackpot|medium:wager|medium:betting|structural:responsible gambling,2026-08-09T05:55:26Z
https://ozoon.eu,ozoon.eu,1.0,strong:free spins|strong:live dealer|strong:bet slip|medium:casino|medium:slots|medium:poker|medium:sportsbook|medium:jackpot|medium:betting|structural:responsible gambling,2026-08-09T05:55:26Z
https://blackchippoker.eu,blackchippoker.eu,0.8,strong:deposit bonus|strong:play now|medium:casino|medium:poker|medium:sportsbook,2026-08-09T05:55:27Z
https://legalbet.uk,legalbet.uk,1.0,strong:deposit bonus|strong:free spins|strong:ukgc|medium:casino|medium:slots|medium:betting,2026-08-09T05:55:28Z
https://casinosadvisor.org,casinosadvisor.org,1.0,strong:deposit bonus|strong:live dealer|strong:play now|strong:cashier|medium:casino|medium:slots|medium:poker|medium:sportsbook|medium:jackpot|structural:responsible gambling|negative:written by,2026-08-09T05:55:34Z
https://casinoencyclopedia.com,casinoencyclopedia.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:poker|medium:sportsbook|medium:jackpot|medium:wager|medium:betting|negative:how to play,2026-08-09T05:55:41Z
https://stake.com.tw,stake.com.tw,0.9,strong:live dealer|strong:claim bonus|medium:casino|medium:slots|medium:wager|medium:betting,2026-08-09T05:56:02Z
https://slotsspinvip.com,slotsspinvip.com,1.0,strong:deposit bonus|strong:free spins|strong:withdraw winnings|medium:casino|medium:slots|medium:jackpot,2026-08-09T05:56:09Z
https://en-acrpoker.com,en-acrpoker.com,0.95,strong:sign up now|strong:claim bonus|strong:play now|medium:casino|medium:poker,2026-08-09T05:57:04Z
https://fruityslots.com,fruityslots.com,1.0,strong:deposit bonus|strong:free spins|medium:casino|medium:slots|medium:jackpot|medium:wager|medium:betting,2026-08-09T05:57:24Z
https://casinogrounds.com,casinogrounds.com,0.8,strong:deposit bonus|strong:free spins|medium:casino|medium:slots|medium:poker,2026-08-09T05:57:27Z
https://betfury.com,betfury.com,1.0,strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:poker|medium:sportsbook|medium:jackpot|medium:wager|medium:betting,2026-08-09T05:57:29Z
https://playtoday.co,playtoday.co,1.0,strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:poker|medium:jackpot|structural:responsible gambling,2026-08-09T05:57:29Z
https://casinoadvisor.com,casinoadvisor.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:play now|strong:ukgc|medium:casino|medium:slots|medium:poker|medium:wager|structural:gambleaware|structural:responsible gambling|negative:how to play,2026-08-09T05:57:31Z
https://csgamble.com,csgamble.com,1.0,strong:deposit bonus|strong:claim bonus|medium:casino|medium:slots|medium:sportsbook|medium:jackpot|medium:wager|medium:betting|structural:18+|structural:responsible gambling,2026-08-09T05:58:24Z
https://online.casino,online.casino,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:withdraw winnings|strong:register now|medium:casino|medium:slots|medium:wager|medium:betting|structural:18+|structural:gambleaware|structural:responsible gambling,2026-08-09T05:58:27Z
https://casinoreviews.com,casinoreviews.com,1.0,strong:deposit bonus|strong:free spins|strong:ukgc|medium:casino|medium:slots|medium:wager|structural:responsible gambling,2026-08-09T05:58:29Z
https://cryptocasinos.com,cryptocasinos.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:play now|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|structural:responsible gambling|negative:written by,2026-08-09T05:58:31Z
https://play-bitcasino.org,play-bitcasino.org,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:play now|strong:cashier|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:betting,2026-08-09T05:58:32Z
https://bitcasino-aus.com,bitcasino-aus.com,1.0,strong:free spins|strong:live dealer|strong:claim bonus|strong:cashier|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:responsible gambling,2026-08-09T05:58:32Z
